team-link,assistCross,assistCorner,assistThroughball,assistFreekick,assistOther,assist,stat-value
1. Belgium,0.4,0,0.4,0,0.9,1.7,7.06
2. Brazil,0.2,0.2,0.4,0,0.6,1.2,7.06
3. France,0.4,0.1,0.1,0.1,0.3,0.9,6.93
4. Uruguay,0.6,0.2,0,0.2,0.2,0.8,6.83
5. England,0.3,0.3,0,0,0.6,0.9,6.82
6. Croatia,0.1,0,0,0,0.7,0.9,6.80
7. Sweden,0,0,0.2,0,0.4,0.6,6.80
8. South Korea,0,0,0,0,0.7,0.7,6.76
9. Colombia,0.5,0.5,0.5,0,0.3,1.3,6.76
10. Nigeria,0.3,0,0,0,0.3,0.7,6.75
11. Russia,0.4,0,0,0.2,0.8,1.4,6.75
12. Denmark,0,0,0,0,0.8,0.8,6.73
13. Mexico,0,0,0,0,0.5,0.5,6.72
14. Spain,0.3,0,0,0,0.5,0.8,6.71
15. Portugal,0.5,0,0,0,0.5,1,6.70
16. Serbia,0.3,0,0,0,0,0.3,6.70
17. Peru,0,0,0,0,0.3,0.3,6.67
18. Japan,0.3,0.3,0.3,0,0.8,1.3,6.67
19. Germany,0,0,0,0,0.7,0.7,6.66
20. Iran,0,0,0,0,0,0,6.64
21. Switzerland,0.5,0.3,0,0,0.5,1,6.64
22. Argentina,0.3,0,0.3,0,0.8,1.3,6.57
23. Senegal,0,0,0,0,0.3,0.3,6.56
24. Tunisia,0.3,0,0,0.3,1,1.3,6.56
25. Poland,0,0,0,0.7,0,0.7,6.53
26. Morocco,0.3,0.3,0,0,0,0.3,6.52
27. Costa Rica,0.3,0.3,0,0,0,0.3,6.52
28. Iceland,0,0,0,0,0,0,6.51
29. Australia,0,0,0,0,0,0,6.47
30. Egypt,0,0,0,0,0.3,0.3,6.47
31. Saudi Arabia,0,0,0,0,0.3,0.3,6.36
32. Panama,0.3,0,0,0.3,0,0.3,6.12
