team-link,crosspg,thrbalpg,lonbalpg,shrtppg
Spain,21,1,54,799
Germany,32,2,59,604
Argentina,20,4,46,539
Brazil,21,2,35,526
Saudi Arabia,16,1,72,518
England,17,3,67,486
Croatia,25,2,68,485
Belgium,15,3,47,475
Switzerland,22,1,57,475
Japan,14,1,58,458
Australia,19,1,56,431
Poland,13,1,63,422
Tunisia,11,1,63,418
Portugal,21,0,67,417
Colombia,16,1,65,400
Peru,11,1,66,386
Uruguay,16,1,59,379
France,13,3,60,378
Mexico,17,1,59,362
Denmark,14,1,62,358
Egypt,14,0,61,351
Morocco,18,1,56,337
Serbia,20,2,58,333
Nigeria,15,0,65,329
Russia,17,0,68,299
Costa Rica,14,2,65,296
Panama,10,0,53,292
Senegal,13,2,65,271
South Korea,10,0,57,262
Sweden,13,1,57,256
Iceland,16,1,61,217
Iran,11,1,63,156
