team-link,shot-left-side,shot-middle-side,shot-right-side
Brazil,28%,60%,13%
Argentina,27%,49%,24%
Belgium,26%,56%,18%
Costa Rica,25%,57%,18%
Egypt,25%,61%,14%
Japan,24%,64%,12%
Panama,24%,60%,16%
Croatia,23%,64%,13%
Portugal,23%,55%,23%
Saudi Arabia,22%,51%,27%
Morocco,21%,65%,15%
Iceland,21%,58%,21%
Peru,19%,58%,23%
Switzerland,19%,61%,19%
France,17%,60%,23%
Iran,17%,75%,8%
Mexico,17%,55%,28%
Tunisia,17%,61%,22%
Russia,16%,64%,21%
Sweden,16%,75%,9%
Germany,15%,69%,15%
Uruguay,15%,64%,21%
Nigeria,15%,62%,23%
Senegal,13%,61%,26%
Spain,12%,73%,15%
South Korea,12%,62%,26%
Serbia,12%,73%,15%
Denmark,11%,73%,16%
England,11%,73%,16%
Australia,9%,79%,12%
Colombia,7%,66%,27%
Poland,6%,90%,3%
