,country_name,Final_positional_ranking,goal,shotsPerGame,yellow_card,red_card,possession_percentage,passSuccess_percentage,shotOnTargetPG,dribbleWonPG,foulGivenPG,shotsConcededPG,tacklePG,interceptionPG,foulsPG,offsideGivenPG,clearanceTotal,duelAerialTotal,duelAerialWon,duelAerialLost,stat-value,assistCross,assistCorner,assistThroughball,assistFreekick,assistOther,assist,passLongBallAccurate,passLongBallInaccurate,shortPassAccurate,shortPassInaccurate,keyPassLong,keyPassShort,left_side_percent,middle_side_percent,right_side_percent,own_third_percent,middle_third_percent,opposition_third_percent,shot_left_side_percent,shot_middle_side_percent,shot_right_side_percent
0,Argentina,16,6,13.8,11,0,61.1,85.0,4.5,13.5,19.0,10.0,16.5,7.8,14.0,1.5,18.5,35.8,18.3,17.5,6.57,0.3,0.0,0.3,0.0,0.8,1.3,22.0,25.5,474.3,62.0,0.8,8.8,38,27,35,19,49,32,27,49,24
1,Australia,25,2,11.0,7,0,50.9,83.7,2.3,11.0,10.0,8.7,15.0,8.0,12.7,1.0,23.7,36.3,20.3,16.0,6.47,0.0,0.0,0.0,0.0,0.0,0.0,25.7,28.7,375.3,49.3,1.7,6.3,35,20,45,27,47,25,9,79,12
2,Belgium,3,16,15.1,11,0,52.1,86.3,5.7,13.3,10.6,15.1,13.4,7.4,14.1,1.1,16.9,25.9,13.7,12.1,7.06,0.4,0.0,0.4,0.0,0.9,1.7,24.7,21.9,420.3,48.9,1.7,10.6,34,26,40,27,47,26,26,56,18
3,Brazil,5,8,20.8,7,0,56.8,87.9,8.0,14.8,14.4,8.4,17.6,12.0,9.8,1.8,16.2,30.2,14.6,15.6,7.06,0.2,0.2,0.4,0.0,0.6,1.2,23.2,12.0,466.2,55.2,3.2,13.0,43,29,29,25,44,31,28,60,13
4,Colombia,10,6,9.8,9,1,50.2,79.9,3.3,7.8,13.0,11.5,15.8,9.0,15.8,1.8,24.0,44.3,19.3,25.0,6.76,0.5,0.5,0.5,0.0,0.3,1.3,27.5,31.5,314.8,53.8,1.5,5.0,33,22,45,29,48,23,7,66,27
5,Costa Rica,30,2,9.0,6,0,41.6,77.1,3.0,9.0,11.7,15.0,18.3,12.7,14.3,1.7,25.0,36.7,18.0,18.7,6.52,0.3,0.3,0.0,0.0,0.0,0.3,29.7,34.7,245.3,47.0,1.3,5.0,41,22,37,30,45,25,25,57,18
6,Croatia,2,14,16.1,15,0,55.4,81.2,4.1,12.0,15.3,12.1,15.9,10.3,16.0,1.6,21.6,45.9,24.3,21.6,6.8,0.1,0.0,0.0,0.0,0.7,0.9,31.1,29.6,368.3,61.7,2.1,7.4,43,23,34,26,47,27,23,64,13
7,Denmark,13,3,9.8,6,0,44.8,79.3,3.3,8.3,7.0,15.3,14.3,8.8,13.5,1.3,25.5,51.0,23.8,27.3,6.73,0.0,0.0,0.0,0.0,0.8,0.8,23.8,33.8,280.0,44.8,1.3,4.0,29,26,45,27,47,26,11,73,16
8,Egypt,31,2,9.3,5,0,44.4,77.2,1.7,5.7,7.3,16.3,16.3,18.3,12.7,1.3,24.0,38.0,15.3,22.7,6.47,0.0,0.0,0.0,0.0,0.3,0.3,24.3,35.7,290.3,57.3,1.7,4.7,40,25,36,33,43,24,25,61,14
9,England,4,12,13.4,8,0,53.5,85.3,4.1,10.0,14.4,11.7,12.7,8.0,10.0,2.1,16.1,38.3,23.9,14.4,6.82,0.3,0.3,0.0,0.0,0.6,0.9,34.0,27.3,399.6,45.6,2.7,6.6,38,23,39,22,49,30,11,73,16
