,country_name,goal,shotsPerGame,yellow_card,red_card,possession_percentage,passSuccess_percentage,aerialWonPG,shotsPG,shotOnTargetPG,dribbleWonPG,foulGivenPG,shotsConcededPG,tacklePG,interceptionPG,foulsPG,offsideGivenPG,clearanceTotal,duelAerialTotal,duelAerialWon,duelAerialLost,stat-value
0,Argentina,6,13.8,11,0,61.1,85.0,18.3,13.8,4.5,13.5,19.0,10.0,16.5,7.8,14.0,1.5,18.5,35.8,18.3,17.5,6.57
1,Australia,2,11.0,7,0,50.9,83.7,20.3,11.0,2.3,11.0,10.0,8.7,15.0,8.0,12.7,1.0,23.7,36.3,20.3,16.0,6.47
2,Belgium,16,15.1,11,0,52.1,86.3,13.7,15.1,5.7,13.3,10.6,15.1,13.4,7.4,14.1,1.1,16.9,25.9,13.7,12.1,7.06
3,Brazil,8,20.8,7,0,56.8,87.9,14.6,20.8,8.0,14.8,14.4,8.4,17.6,12.0,9.8,1.8,16.2,30.2,14.6,15.6,7.06
4,Colombia,6,9.8,9,1,50.2,79.9,21.8,9.8,3.3,7.8,13.0,11.5,15.8,9.0,15.8,1.8,24.0,44.3,19.3,25.0,6.76
5,Costa Rica,2,9.0,6,0,41.6,77.1,18.0,9.0,3.0,9.0,11.7,15.0,18.3,12.7,14.3,1.7,25.0,36.7,18.0,18.7,6.52
6,Croatia,14,16.1,15,0,55.4,81.2,27.6,16.1,4.1,12.0,15.3,12.1,15.9,10.3,16.0,1.6,21.6,45.9,24.3,21.6,6.8
7,Denmark,3,9.8,6,0,44.8,79.3,26.5,9.8,3.3,8.3,7.0,15.3,14.3,8.8,13.5,1.3,25.5,51.0,23.8,27.3,6.73
8,Egypt,2,9.3,5,0,44.4,77.2,15.3,9.3,1.7,5.7,7.3,16.3,16.3,18.3,12.7,1.3,24.0,38.0,15.3,22.7,6.47
9,England,12,13.4,8,0,53.5,85.3,26.4,13.4,4.1,10.0,14.4,11.7,12.7,8.0,10.0,2.1,16.1,38.3,23.9,14.4,6.82
10,France,14,11.6,12,0,49.6,81.5,20.6,11.6,4.1,11.0,14.7,9.3,16.7,10.3,13.1,0.4,26.1,36.6,20.6,16.0,6.93
11,Germany,2,24.0,2,1,65.3,88.5,16.0,24.0,7.0,9.0,13.7,10.7,15.7,8.0,9.7,2.3,10.7,28.3,16.0,12.3,6.66
12,Iceland,2,11.0,3,0,37.0,69.4,21.0,11.0,3.7,8.0,8.7,19.0,15.3,15.7,11.7,0.3,23.7,42.3,21.0,21.3,6.51
13,Iran,2,7.7,7,0,33.6,62.6,16.7,7.7,1.3,8.3,15.0,15.0,17.7,14.7,14.7,1.0,26.7,39.3,16.7,22.7,6.64
14,Japan,6,10.5,5,0,52.2,83.9,21.8,10.5,4.0,5.3,12.3,14.5,15.5,8.5,9.3,1.3,25.8,45.8,21.8,24.0,6.67
15,Mexico,3,15.0,9,0,52.3,83.6,13.8,15.0,3.3,14.0,11.8,19.5,18.8,11.8,13.5,1.3,17.3,29.5,13.8,15.8,6.72
16,Morocco,2,11.3,8,0,48.9,78.4,21.3,11.3,3.3,12.0,12.3,12.3,16.0,8.0,20.7,0.7,16.0,38.0,21.3,16.7,6.52
17,Nigeria,3,13.0,4,0,47.9,76.1,21.3,13.0,3.0,15.7,14.7,9.3,19.3,14.0,15.0,0.7,23.3,45.0,21.3,23.7,6.75
18,Panama,2,8.0,11,0,39.9,81.7,11.7,8.0,2.7,7.3,15.7,13.3,14.3,11.0,16.3,2.0,22.7,31.3,11.7,19.7,6.12
19,Peru,2,10.3,5,0,49.9,81.0,15.0,10.3,3.7,8.0,13.0,12.0,20.3,9.3,12.3,2.3,21.7,39.7,15.0,24.7,6.67
20,Poland,2,10.3,3,0,50.4,81.1,23.3,10.3,2.7,5.0,11.3,10.3,16.0,11.0,10.3,1.3,20.3,45.0,23.3,21.7,6.53
21,Portugal,6,13.3,7,0,52.9,82.8,21.8,13.3,3.5,10.8,14.8,10.0,16.8,6.8,13.8,1.0,16.0,40.0,21.8,18.3,6.7
22,Russia,11,9.6,6,1,39.5,71.0,30.6,9.6,3.4,7.4,11.2,15.2,19.0,14.0,19.0,1.4,24.2,49.2,28.8,20.4,6.75
23,Saudi Arabia,2,12.3,1,0,57.0,86.2,10.0,12.3,3.3,9.7,15.0,11.3,18.3,8.0,10.0,1.3,16.7,28.0,10.0,18.0,6.36
24,Senegal,4,10.0,6,0,43.7,75.8,21.7,10.0,4.0,8.7,10.0,7.3,13.0,11.3,15.0,3.0,17.0,41.0,21.7,19.3,6.56
25,Serbia,2,11.0,9,0,44.2,78.0,25.0,11.0,2.7,9.0,12.7,14.7,22.7,7.3,15.0,1.7,19.7,42.7,25.0,17.7,6.7
26,South Korea,3,11.3,10,0,40.6,77.2,13.0,11.3,3.7,11.7,11.0,18.7,14.7,13.0,21.0,0.0,29.3,31.0,13.0,18.0,6.76
27,Spain,7,18.0,2,0,69.2,91.0,15.5,18.0,6.3,14.5,14.8,7.3,13.3,7.5,8.5,1.5,10.0,31.0,13.0,18.0,6.71
28,Sweden,6,11.0,8,0,41.3,71.9,22.2,11.0,4.0,6.8,12.8,14.6,13.2,10.4,13.0,1.2,31.8,45.0,22.2,22.8,6.8
29,Switzerland,5,14.3,9,1,56.3,84.8,13.8,14.3,3.5,8.5,13.0,15.0,18.8,10.8,13.5,1.0,13.8,31.0,13.8,17.3,6.64
30,Tunisia,5,12.0,4,0,51.3,82.2,12.3,12.0,4.0,9.7,11.7,16.7,16.7,10.3,15.3,2.0,11.3,27.0,12.3,14.7,6.56
31,Uruguay,7,12.0,3,0,47.7,79.6,17.8,12.0,4.2,7.8,13.8,10.0,18.0,15.8,12.6,0.4,17.4,38.4,17.8,20.6,6.83
