team-link,duelAerialTotal,duelAerialWon,duelAerialLost,stat-value
1. Belgium,25.9,13.7,12.1,7.06
2. Brazil,30.2,14.6,15.6,7.06
3. France,36.6,20.6,16,6.93
4. Uruguay,38.4,17.8,20.6,6.83
5. England,38.3,23.9,14.4,6.82
6. Croatia,45.9,24.3,21.6,6.80
7. Sweden,45,22.2,22.8,6.80
8. South Korea,31,13,18,6.76
9. Colombia,44.3,19.3,25,6.76
10. Nigeria,45,21.3,23.7,6.75
11. Russia,49.2,28.8,20.4,6.75
12. Denmark,51,23.8,27.3,6.73
13. Mexico,29.5,13.8,15.8,6.72
14. Spain,31,13,18,6.71
15. Portugal,40,21.8,18.3,6.70
16. Serbia,42.7,25,17.7,6.70
17. Peru,39.7,15,24.7,6.67
18. Japan,45.8,21.8,24,6.67
19. Germany,28.3,16,12.3,6.66
20. Iran,39.3,16.7,22.7,6.64
21. Switzerland,31,13.8,17.3,6.64
22. Argentina,35.8,18.3,17.5,6.57
23. Senegal,41,21.7,19.3,6.56
24. Tunisia,27,12.3,14.7,6.56
25. Poland,45,23.3,21.7,6.53
26. Morocco,38,21.3,16.7,6.52
27. Costa Rica,36.7,18,18.7,6.52
28. Iceland,42.3,21,21.3,6.51
29. Australia,36.3,20.3,16,6.47
30. Egypt,38,15.3,22.7,6.47
31. Saudi Arabia,28,10,18,6.36
32. Panama,31.3,11.7,19.7,6.12
