team-link,goal,shotsPerGame,yellow-card,red-card-,possession%,passSuccess%,aerialWonPG,stat-value
1. Belgium,16,15.1,11,0,52.1,86.3,13.7,7.06
2. Brazil,8,20.8,7,0,56.8,87.9,14.6,7.06
3. France,14,11.6,12,0,49.6,81.5,20.6,6.93
4. Croatia,14,16.1,15,0,55.4,81.2,27.6,6.92
5. Russia,11,9.6,6,1,39.5,71.0,30.6,6.85
6. England,12,13.4,8,0,53.5,85.3,26.4,6.84
7. Uruguay,7,12,3,0,47.7,79.6,17.8,6.83
8. Sweden,6,11,8,0,41.3,71.9,22.2,6.80
9. Colombia,6,9.8,9,1,50.2,79.9,21.8,6.79
10. Spain,7,18,2,0,69.2,91.0,15.5,6.77
11. Denmark,3,9.8,6,0,44.8,79.3,26.5,6.77
12. South Korea,3,11.3,10,0,40.6,77.2,13,6.76
13. Nigeria,3,13,4,0,47.9,76.1,21.3,6.75
14. Mexico,3,15,9,0,52.3,83.6,13.8,6.72
15. Portugal,6,13.3,7,0,52.9,82.8,21.8,6.70
16. Serbia,2,11,9,0,44.2,78.0,25,6.70
17. Peru,2,10.3,5,0,49.9,81.0,15,6.67
18. Japan,6,10.5,5,0,52.2,83.9,21.8,6.67
19. Germany,2,24,2,1,65.3,88.5,16,6.66
20. Switzerland,5,14.3,9,1,56.3,84.8,13.8,6.64
21. Iran,2,7.7,7,0,33.6,62.6,16.7,6.64
22. Argentina,6,13.8,11,0,61.1,85.0,18.3,6.57
23. Senegal,4,10,6,0,43.7,75.8,21.7,6.56
24. Tunisia,5,12,4,0,51.3,82.2,12.3,6.56
25. Poland,2,10.3,3,0,50.4,81.1,23.3,6.53
26. Morocco,2,11.3,8,0,48.9,78.4,21.3,6.52
27. Costa Rica,2,9,6,0,41.6,77.1,18,6.52
28. Iceland,2,11,3,0,37.0,69.4,21,6.51
29. Australia,2,11,7,0,50.9,83.7,20.3,6.47
30. Egypt,2,9.3,5,0,44.4,77.2,15.3,6.47
31. Saudi Arabia,2,12.3,1,0,57.0,86.2,10,6.36
32. Panama,2,8,11,0,39.9,81.7,11.7,6.12
