team-link,keyPassesTotal,keyPassLong,keyPassShort,stat-value
1. Belgium,12.3,1.7,10.6,7.06
2. Brazil,16.2,3.2,13,7.06
3. France,8.3,0.9,7.4,6.93
4. Uruguay,8,1.8,6.2,6.83
5. England,9.3,2.7,6.6,6.82
6. Croatia,9.6,2.1,7.4,6.80
7. Sweden,8.2,2,6.2,6.80
8. South Korea,8.3,1.7,6.7,6.76
9. Colombia,6.5,1.5,5,6.76
10. Nigeria,9.3,1,8.3,6.75
11. Russia,6.4,1,5.4,6.75
12. Denmark,5.3,1.3,4,6.73
13. Mexico,11.5,1.8,9.8,6.72
14. Spain,11,2.5,8.5,6.71
15. Portugal,9.8,1,8.8,6.70
16. Serbia,9.3,3,6.3,6.70
17. Peru,9,1,8,6.67
18. Japan,8.3,1,7.3,6.67
19. Germany,19,2.3,16.7,6.66
20. Iran,3.3,1,2.3,6.64
21. Switzerland,9.3,1.5,7.8,6.64
22. Argentina,9.5,0.8,8.8,6.57
23. Senegal,7,2,5,6.56
24. Tunisia,9.7,2,7.7,6.56
25. Poland,7.3,3,4.3,6.53
26. Morocco,8.3,2,6.3,6.52
27. Costa Rica,6.3,1.3,5,6.52
28. Iceland,7.3,1.3,6,6.51
29. Australia,8,1.7,6.3,6.47
30. Egypt,6.3,1.7,4.7,6.47
31. Saudi Arabia,8.7,1.7,7,6.36
32. Panama,5.7,0.3,5.3,6.12
