team-link,clearanceTotal,stat-value
1. Belgium,16.9,7.06
2. Brazil,16.2,7.06
3. France,26.1,6.93
4. Uruguay,17.4,6.83
5. England,16.1,6.82
6. Croatia,21.6,6.80
7. Sweden,31.8,6.80
8. South Korea,29.3,6.76
9. Colombia,24,6.76
10. Nigeria,23.3,6.75
11. Russia,24.2,6.75
12. Denmark,25.5,6.73
13. Mexico,17.3,6.72
14. Spain,10,6.71
15. Portugal,16,6.70
16. Serbia,19.7,6.70
17. Peru,21.7,6.67
18. Japan,25.8,6.67
19. Germany,10.7,6.66
20. Iran,26.7,6.64
21. Switzerland,13.8,6.64
22. Argentina,18.5,6.57
23. Senegal,17,6.56
24. Tunisia,11.3,6.56
25. Poland,20.3,6.53
26. Morocco,16,6.52
27. Costa Rica,25,6.52
28. Iceland,23.7,6.51
29. Australia,23.7,6.47
30. Egypt,24,6.47
31. Saudi Arabia,16.7,6.36
32. Panama,22.7,6.12
