team-link,shotsConcededPG,tacklePG,interceptionPG,foulsPG,offsideGivenPG,stat-value
1. Belgium,15.1,13.4,7.4,14.1,1.1,7.06
2. Brazil,8.4,17.6,12,9.8,1.8,7.06
3. France,9.3,16.7,10.3,13.1,0.4,6.93
4. Croatia,12.1,15.9,10.3,16,1.6,6.92
5. Russia,15.2,19,14,19,1.4,6.85
6. England,11.7,12.7,8,10,2.1,6.84
7. Uruguay,10,18,15.8,12.6,0.4,6.83
8. Sweden,14.6,13.2,10.4,13,1.2,6.80
9. Colombia,11.5,15.8,9,15.8,1.8,6.79
10. Spain,7.3,13.3,7.5,8.5,1.5,6.77
11. Denmark,15.3,14.3,8.8,13.5,1.3,6.77
12. South Korea,18.7,14.7,13,21,0,6.76
13. Nigeria,9.3,19.3,14,15,0.7,6.75
14. Mexico,19.5,18.8,11.8,13.5,1.3,6.72
15. Portugal,10,16.8,6.8,13.8,1,6.70
16. Serbia,14.7,22.7,7.3,15,1.7,6.70
17. Peru,12,20.3,9.3,12.3,2.3,6.67
18. Japan,14.5,15.5,8.5,9.3,1.3,6.67
19. Germany,10.7,15.7,8,9.7,2.3,6.66
20. Switzerland,15,18.8,10.8,13.5,1,6.64
21. Iran,15,17.7,14.7,14.7,1,6.64
22. Argentina,10,16.5,7.8,14,1.5,6.57
23. Senegal,7.3,13,11.3,15,3,6.56
24. Tunisia,16.7,16.7,10.3,15.3,2,6.56
25. Poland,10.3,16,11,10.3,1.3,6.53
26. Morocco,12.3,16,8,20.7,0.7,6.52
27. Costa Rica,15,18.3,12.7,14.3,1.7,6.52
28. Iceland,19,15.3,15.7,11.7,0.3,6.51
29. Australia,8.7,15,8,12.7,1,6.47
30. Egypt,16.3,16.3,18.3,12.7,1.3,6.47
31. Saudi Arabia,11.3,18.3,8,10,1.3,6.36
32. Panama,13.3,14.3,11,16.3,2,6.12
